dataset,attack,poison_rate,defense,clean_acc,clean_acc_std,asr,det_precision,det_recall,det_f1,fit_time_sec
synthetic,backdoor,0.05,none,0.8416666666666667,0.01010362971081847,0.9767827529021559,0.0,0.0,0.0,0.003620624542236328
synthetic,backdoor,0.05,roni,0.8316666666666667,0.011547005383792509,0.9485903814262023,0.04217431799832052,0.4055555555555556,0.07595799300877258,0.1787694295247396
synthetic,backdoor,0.05,trimmed_loss,0.8483333333333333,0.022546248764114506,0.9353233830845772,0.005291005291005291,0.005555555555555556,0.005420054200542006,0.022418816884358723
synthetic,backdoor,0.1,anomaly_iforest,0.8375,0.010897247358851697,0.956882255389718,0.2781954887218045,0.30833333333333335,0.29249011857707513,0.2180448373158773
synthetic,backdoor,0.1,anomaly_lof,0.8391666666666667,0.008779711460710663,0.9800995024875622,0.06766917293233082,0.075,0.07114624505928853,0.014928738276163736
synthetic,backdoor,0.1,hybrid,0.8341666666666666,0.012332207155790658,0.8805970149253731,0.10328675242051123,0.5861111111111111,0.175262029153009,0.3765827814737956
synthetic,backdoor,0.1,none,0.8416666666666667,0.01010362971081847,0.9834162520729685,0.0,0.0,0.0,0.0033637682596842446
synthetic,backdoor,0.1,roni,0.835,0.021794494717703287,0.9767827529021559,0.09561148205216002,0.525,0.16164325023531925,0.187057892481486
synthetic,backdoor,0.1,trimmed_loss,0.8558333333333333,0.003818813079129846,0.9237147595356551,0.015151515151515152,0.016666666666666666,0.015873015873015872,0.020549297332763672
synthetic,backdoor,0.2,anomaly_iforest,0.8391666666666667,0.010408329997330669,0.9800995024875622,0.2560553633217993,0.30833333333333335,0.27977315689981097,0.2191315491994222
synthetic,backdoor,0.2,anomaly_lof,0.835,0.007499999999999979,0.9834162520729685,0.17416378316032297,0.20972222222222223,0.19029615626969124,0.01664447784423828
synthetic,backdoor,0.2,hybrid,0.8450000000000001,0.017499999999999988,0.900497512437811,0.17764135870431538,0.6472222222222223,0.2784356325639244,0.3883515199025472
synthetic,backdoor,0.2,none,0.8424999999999999,0.010000000000000009,0.9917081260364843,0.0,0.0,0.0,0.003328084945678711
synthetic,backdoor,0.2,roni,0.8391666666666667,0.02126225137028846,0.990049751243781,0.15895115895115894,0.44722222222222224,0.23422791038304772,0.21352593104044595
synthetic,backdoor,0.2,trimmed_loss,0.835,0.009013878188659938,0.955223880597015,0.02314814814814815,0.027777777777777776,0.025252525252525252,0.018655856450398762
synthetic,feature_collision,0.05,anomaly_iforest,0.8408333333333333,0.015275252316519494,0.1956882255389718,0.0,0.0,0.0,0.21733744939168295
synthetic,feature_collision,0.05,anomaly_lof,0.8408333333333333,0.016072751268321604,0.18739635157545606,0.0,0.0,0.0,0.013620694478352865
synthetic,feature_collision,0.05,hybrid,0.8258333333333333,0.014648663192705844,0.21724709784411278,0.044570886676149835,0.5222222222222223,0.08213193534294451,0.3614672025044759
synthetic,feature_collision,0.05,none,0.8416666666666667,0.013768926368215282,0.1890547263681592,0.0,0.0,0.0,0.0020694732666015625
synthetic,feature_collision,0.05,roni,0.8233333333333333,0.027876214472796194,0.21393034825870647,0.043514509203426276,0.4222222222222222,0.07880132220548965,0.1468211809794108
synthetic,feature_collision,0.05,trimmed_loss,0.8383333333333334,0.015069284433354271,0.22056384742951907,0.026455026455026454,0.027777777777777776,0.027100271002710032,0.015104532241821289
synthetic,feature_collision,0.1,anomaly_iforest,0.8225000000000001,0.026457513110645932,0.24212271973466004,0.0,0.0,0.0,0.22089385986328125
